date,delta,sigma_distance,direction,macro_tag
1983-08-22,-22.000000000000064,-3.384493799954877,down,
1983-08-29,21.000000000000085,3.237720696853474,up,
1983-10-24,21.999999999999886,3.3917256851513113,up,
1984-05-11,20.999999999999908,3.2377206968534464,up,
1984-06-01,-25.99999999999998,-4.000513753146336,down,
1984-06-04,-21.000000000000085,-3.230488811657012,down,
1984-07-09,-27.000000000000135,-4.154518741444228,down,
1984-07-25,-27.999999999999936,-4.308523729742066,down,
1984-10-18,-19.99999999999993,-3.07648382335912,down,
1985-02-27,21.000000000000085,3.237720696853474,up,
1985-03-08,-21.999999999999886,-3.38449379995485,down,
1985-05-20,-23.000000000000043,-3.538498788252742,down,
1985-06-07,23.000000000000043,3.5457306734492033,up,
1985-06-14,-19.99999999999993,-3.07648382335912,down,
1985-09-06,24.00000000000002,3.6997356617470682,up,
1986-02-27,-21.999999999999886,-3.38449379995485,down,
1986-04-16,-20.000000000000018,-3.076483823359134,down,
1986-05-29,20.999999999999996,3.23772069685346,up,
1986-06-06,-25.0,-3.8465087648484713,down,
1986-09-03,19.99999999999993,3.0837157085555815,up,
1986-09-11,20.000000000000018,3.0837157085555953,up,
1987-03-30,20.000000000000018,3.0837157085555953,up,
1987-06-02,26.999999999999957,4.1617506266406625,up,
1987-09-02,20.999999999999908,3.2377206968534464,up,
1987-10-14,19.99999999999993,3.0837157085555815,up,Black Monday Era
1987-10-20,-75.99999999999997,-11.70076316803974,down,Black Monday Era
1987-10-22,-28.999999999999915,-4.4625287180399305,down,Black Monday Era
1988-01-15,-29.000000000000092,-4.462528718039958,down,
1988-06-14,-20.999999999999908,-3.230488811656985,down,
1988-09-02,-25.99999999999998,-4.000513753146336,down,
1989-05-12,-23.000000000000043,-3.538498788252742,down,
1990-08-06,26.999999999999957,4.1617506266406625,up,
1991-01-17,-22.000000000000064,-3.384493799954877,down,
1994-05-06,20.000000000000018,3.0837157085555953,up,
1996-03-08,24.00000000000002,3.6997356617470682,up,
2001-10-31,-33.00000000000001,-5.078548671231418,down,
2001-11-15,20.000000000000018,3.0837157085555953,up,
2008-09-15,-20.000000000000018,-3.076483823359134,down,GFC
2008-09-19,22.000000000000064,3.391725685151339,up,GFC
2008-09-29,-23.000000000000043,-3.538498788252742,down,GFC
